0 torch.Size([1, 5, 128]) tensor([0.2535, 0.0151, 0.0813])
1 torch.Size([1, 5, 128]) tensor([ 0.2337,  0.1939, -0.0349])
2 torch.Size([1, 5, 128]) tensor([-0.2448,  0.1281, -0.0276])
3 torch.Size([1, 5, 128]) tensor([-0.0591,  0.0725, -0.3412])
0 torch.Size([1, 6, 128]) tensor([0.2535, 0.0151, 0.0813])
1 torch.Size([1, 6, 128]) tensor([ 0.2337,  0.1939, -0.0349])
2 torch.Size([1, 6, 128]) tensor([-0.2448,  0.1281, -0.0276])
3 torch.Size([1, 6, 128]) tensor([-0.0591,  0.0725, -0.3412])
0 torch.Size([1, 7, 128]) tensor([0.2535, 0.0151, 0.0813])
1 torch.Size([1, 7, 128]) tensor([ 0.2337,  0.1939, -0.0349])
2 torch.Size([1, 7, 128]) tensor([-0.2448,  0.1281, -0.0276])
3 torch.Size([1, 7, 128]) tensor([-0.0591,  0.0725, -0.3412])
0 torch.Size([1, 8, 128]) tensor([0.2535, 0.0151, 0.0813])
1 torch.Size([1, 8, 128]) tensor([ 0.2337,  0.1939, -0.0349])
2 torch.Size([1, 8, 128]) tensor([-0.2448,  0.1281, -0.0276])
3 torch.Size([1, 8, 128]) tensor([-0.0591,  0.0725, -0.3412])
0 torch.Size([1, 9, 128]) tensor([0.2535, 0.0151, 0.0813])
1 torch.Size([1, 9, 128]) tensor([ 0.2337,  0.1939, -0.0349])
2 torch.Size([1, 9, 128]) tensor([-0.2448,  0.1281, -0.0276])
3 torch.Size([1, 9, 128]) tensor([-0.0591,  0.0725, -0.3412])
0 torch.Size([1, 10, 128]) tensor([0.2535, 0.0151, 0.0813])
1 torch.Size([1, 10, 128]) tensor([ 0.2337,  0.1939, -0.0349])
2 torch.Size([1, 10, 128]) tensor([-0.2448,  0.1281, -0.0276])
3 torch.Size([1, 10, 128]) tensor([-0.0591,  0.0725, -0.3412])
0 torch.Size([1, 11, 128]) tensor([0.2535, 0.0151, 0.0813])
1 torch.Size([1, 11, 128]) tensor([ 0.2337,  0.1939, -0.0349])
2 torch.Size([1, 11, 128]) tensor([-0.2448,  0.1281, -0.0276])
3 torch.Size([1, 11, 128]) tensor([-0.0591,  0.0725, -0.3412])
0 torch.Size([1, 12, 128]) tensor([0.2535, 0.0151, 0.0813])
1 torch.Size([1, 12, 128]) tensor([ 0.2337,  0.1939, -0.0349])
2 torch.Size([1, 12, 128]) tensor([-0.2448,  0.1281, -0.0276])
3 torch.Size([1, 12, 128]) tensor([-0.0591,  0.0725, -0.3412])
0 torch.Size([1, 13, 128]) tensor([0.2535, 0.0151, 0.0813])
1 torch.Size([1, 13, 128]) tensor([ 0.2337,  0.1939, -0.0349])
2 torch.Size([1, 13, 128]) tensor([-0.2448,  0.1281, -0.0276])
3 torch.Size([1, 13, 128]) tensor([-0.0591,  0.0725, -0.3412])
0 torch.Size([1, 14, 128]) tensor([0.2535, 0.0151, 0.0813])
1 torch.Size([1, 14, 128]) tensor([ 0.2337,  0.1939, -0.0349])
